# left,right  worst-case free distance beside the track over a +-3 m window,
# measured by scripts/../measure survey with the 2D lidar on an obstacle-free lap.
# nan = that stretch was not surveyed. One row per track_centerline.csv point.
4.301,2.554
4.301,2.554
4.301,2.554
4.301,2.554
4.301,2.554
4.301,2.554
4.301,2.554
4.301,2.554
4.301,2.554
4.301,2.554
4.301,2.554
4.301,2.554
4.301,2.554
4.301,2.554
4.301,2.554
4.301,2.554
4.301,2.554
4.301,2.554
4.301,2.554
4.301,2.554
4.301,2.554
4.301,2.554
4.301,2.554
4.301,2.554
4.301,2.554
4.301,2.554
4.301,2.554
4.301,2.554
4.301,2.554
4.301,2.554
4.301,2.554
4.301,2.554
4.301,2.554
4.301,2.554
4.301,2.554
4.301,2.554
4.301,2.554
4.292,2.554
4.281,2.554
4.271,2.554
4.265,2.554
4.259,2.554
4.244,2.554
4.230,2.554
4.227,2.554
4.214,2.554
4.208,2.554
4.198,2.554
4.192,2.554
4.180,2.554
4.180,2.554
4.180,2.554
4.168,2.554
4.158,2.554
4.150,2.554
4.142,2.554
4.136,2.554
4.136,2.554
4.122,2.554
4.115,2.554
4.115,2.554
4.101,2.554
4.095,2.554
4.086,2.554
4.083,2.554
4.074,2.554
4.064,2.554
4.061,2.554
4.052,2.554
4.049,2.554
4.040,2.554
4.037,2.554
4.029,2.554
4.023,2.554
4.016,2.554
4.011,2.554
4.004,2.554
3.994,2.554
3.986,2.554
3.982,2.554
3.974,2.554
3.969,2.554
3.969,2.554
3.964,2.554
3.954,2.554
3.954,2.554
3.943,2.554
3.937,2.554
3.932,2.554
3.922,2.554
3.918,2.554
3.918,2.554
3.911,2.554
3.911,2.554
3.907,2.554
3.902,2.554
3.897,2.554
3.894,2.556
3.886,2.556
3.886,2.556
3.878,2.556
3.878,2.556
3.852,2.557
3.852,2.559
3.832,2.564
3.832,2.567
3.811,2.572
3.811,2.573
3.795,2.577
3.795,2.577
3.790,2.577
3.756,2.577
3.756,2.577
3.752,2.577
3.718,2.577
3.718,2.577
3.711,2.577
3.675,2.577
3.675,2.577
3.650,2.577
3.650,2.577
3.642,2.577
3.629,2.577
3.617,2.577
3.607,2.577
3.596,2.577
3.566,2.577
3.566,2.577
3.566,2.577
3.548,2.577
3.543,2.577
3.535,2.577
3.523,2.577
3.518,2.577
3.503,2.577
3.503,2.577
3.492,2.577
3.485,2.577
3.478,2.577
3.464,2.577
3.464,2.577
3.461,2.577
3.454,2.577
3.440,2.578
3.440,2.578
3.440,2.578
3.437,2.578
3.428,2.578
3.426,2.579
3.421,2.579
3.416,2.579
3.409,2.579
3.405,2.580
3.400,2.580
3.396,2.580
3.392,2.581
3.388,2.581
3.384,2.582
3.379,2.582
3.374,2.583
3.373,2.584
3.369,2.584
3.367,2.585
3.364,2.585
3.362,2.586
3.361,2.587
3.359,2.587
3.359,2.588
3.358,2.589
3.358,2.590
3.358,2.591
3.358,2.592
3.358,2.593
3.358,2.594
3.358,2.595
3.356,2.596
3.353,2.598
3.351,2.598
3.349,2.600
3.347,2.602
3.345,2.605
3.344,2.605
3.342,2.606
3.340,2.609
3.337,2.611
3.336,2.613
3.333,2.615
3.332,2.619
3.319,2.621
3.313,2.622
3.302,2.626
3.296,2.629
3.286,2.632
3.280,2.637
3.270,2.640
3.265,2.645
3.256,2.645
3.252,2.645
3.243,2.645
3.239,2.645
3.232,2.645
3.232,2.645
3.221,2.645
3.218,2.645
3.212,2.645
3.212,2.645
3.209,2.645
3.207,2.645
3.201,2.645
3.201,2.645
3.199,2.645
3.196,2.645
3.195,2.645
3.194,2.645
3.193,2.646
3.193,2.646
3.192,2.648
3.192,2.651
3.192,2.651
3.192,2.655
3.192,2.656
3.192,2.659
3.192,2.661
3.192,2.666
3.192,2.668
3.192,2.674
3.192,2.676
3.192,2.683
3.192,2.688
3.192,2.693
3.192,2.693
3.192,2.693
3.192,2.701
3.192,2.710
3.192,2.716
3.192,2.721
3.192,2.727
3.192,2.727
3.192,2.741
3.192,2.749
3.192,2.749
3.192,2.764
3.192,2.774
3.192,2.785
3.192,2.789
3.192,2.802
3.192,2.815
3.192,2.822
3.192,2.836
3.192,2.841
3.192,2.858
3.192,2.867
3.192,2.886
3.192,2.901
3.192,2.909
3.192,3.034
3.192,3.041
3.192,3.053
3.192,3.066
3.192,3.071
3.192,3.085
3.192,3.094
3.192,3.094
3.192,3.099
3.192,3.114
3.192,3.119
3.192,3.134
3.192,3.149
3.192,3.154
3.192,3.169
3.192,3.180
3.192,3.180
3.192,3.190
3.192,3.200
3.192,3.211
3.192,3.221
3.192,3.231
3.192,3.242
3.192,3.254
3.192,3.256
3.192,3.272
3.192,3.272
3.192,3.287
3.192,3.287
3.192,3.309
3.192,3.309
3.192,3.324
3.192,3.324
3.192,3.337
3.192,3.337
3.192,3.342
3.192,3.371
3.192,3.371
3.192,3.376
3.192,3.401
3.192,3.401
3.192,3.407
3.192,3.437
3.192,3.437
3.192,3.456
3.192,3.456
3.192,3.466
3.192,2.238
3.192,2.176
3.192,2.141
3.192,2.127
3.192,2.120
3.192,2.100
3.192,2.087
3.192,1.815
3.192,1.757
3.192,1.711
3.192,1.700
3.192,1.683
3.192,1.675
3.192,1.657
3.192,1.647
3.192,1.637
3.192,1.618
3.192,1.609
3.192,1.601
3.192,1.588
3.192,1.580
3.192,1.567
3.192,1.562
3.192,1.548
3.192,1.542
3.192,1.533
3.192,1.528
3.192,1.520
3.192,1.518
3.192,1.510
3.192,1.508
3.192,1.501
3.192,1.500
3.192,1.496
3.192,1.494
3.192,1.491
3.192,1.490
3.192,1.489
3.192,1.489
3.192,1.489
3.192,1.489
3.192,1.489
3.192,1.489
3.192,1.489
3.192,1.489
3.192,1.489
3.192,1.489
3.192,1.489
3.192,1.489
3.192,1.489
3.192,1.489
3.192,1.489
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.192,1.488
3.193,1.488
3.193,1.488
3.193,1.488
3.193,1.488
3.194,1.488
3.196,1.488
3.196,1.488
3.196,1.488
3.196,1.488
3.196,1.488
3.196,1.488
3.196,1.488
3.196,1.488
3.196,1.488
3.196,1.488
3.196,1.488
3.196,1.488
3.196,1.488
3.196,1.488
3.196,1.488
3.196,1.488
3.196,1.488
3.196,1.488
3.196,1.488
3.196,1.488
